topic,tokencount,words
0,21248,"government national public made country large agriculture banks progress prosperity"
1,13305,"people tax government care jobs country plan work cut economy"
2,9414,"years america americans century propose young crime million nation house"
3,10279,"man laws good business corporations interstate national years navy commerce"
4,24793,"federal years government local problems health public employment resources effective"
5,24282,"programs year program economic provide billion million international nation's major"
6,11020,"world free freedom economic peace human union faith strength today"
7,10104,"hope men day matter hundred full states war months moment"
8,5480,"war production men fighting forces united year allies victory germany"
9,19092,"power people made american great means work make law nation"
10,21416,"business legislation states labor capital conditions large needed general making"
11,27904,"congress policy year administration system important foreign laws result increase"
12,13800,"country duty commission make attention great development bill part secretary"
13,8337,"soviet defense progress nations communist asia weapons allies president friends"
14,8366,"america debt problem necessity industry purpose commerce direct interest obligations"
15,8248,"men conditions country war justice individual man class rights evil"
16,16717,"department court time tariff navy army report commerce international system"
17,10404,"dollars year war expenditures fiscal program million billion united total"
18,19363,"security national military defense forces united years development nations economic"
19,10123,"tonight year children america budget time make american work support"
20,12288,"government united american states made foreign canal year treaty congress"
21,28864,"people government time great peace world nation life present nations"
22,18540,"congress states home world today america american state opportunity build"
23,17663,"law states public work state officers act control islands united"
24,15576,"energy legislation administration development reform efforts rights oil states continue"
