topic,tokencount,words
0,28827,"congress commission made war present service general authority time act"
1,13937,"america years americans century children support security world working today"
2,39393,"country people great government national made present time part rights"
3,26968,"law public navy commerce service army proper subject tariff business"
4,33139,"congress make american action great time long past hope law"
5,49512,"legislation administration development policy act continue international provide work progress"
6,10978,"war men peace production year forces fighting nation world side"
7,24829,"world nations free peace freedom people military economic united defense"
8,16920,"men man work nation states business good labor laws corporations"
9,20423,"states united government department year foreign american canal officers treaty"
10,17303,"program year million war billion dollars fiscal united security programs"
11,29308,"year energy federal congress programs program economic major reform nuclear"
12,29676,"government years american tax future nation state federal home ago"
13,18411,"people work year tonight america make time budget jobs care"
14,27001,"government federal congress public year economic labor agriculture system industry"
