id,0,1,2,3,4,5,6,7,8,9
1900-Republican-William-McKinley,0.0013250883,0.0013250883,0.010600707,0.0013250883,0.01590106,0.057420495,0.204947,0.017226148,0.073321555,0.07729682
1904-Republican-Theodore-Roosevelt,0.00045105999,0.00045105999,0.01037438,0,0.0135318,0.046459179,0.23770862,0.032025259,0.059539919,0.067207939
1908-Republican-William-Howard-Taft,0,0.0064484127,0.00099206349,0,0.034970238,0.056795635,0.21081349,0.021081349,0.08110119,0.065228175
1912-Republican-William-Howard-Taft,0,0,0.0062874251,0,0.041916168,0.075748503,0.19311377,0.013473054,0.081137725,0.05239521
1916-Republican-Charles-E-Hughes,0,0,0,0,0.023931624,0.076068376,0.17692308,0.024358974,0.088461538,0.06965812
1920-Republican-Warren-G-Harding,0.0049528679,0.011822975,0.0025563189,0.0039942483,0.030516057,0.106247,0.15545614,0.027001118,0.084518294,0.06886084
1924-Republican-Calvin-Coolidge,0,0.0054923499,0.0029423303,0,0.043154178,0.098666144,0.14790114,0.035504119,0.080423696,0.073165947
1928-Republican-Herbert-Hoover,0.00082827167,0.016703479,0.0031750414,0.0030369961,0.049972391,0.094699061,0.13694092,0.019740475,0.079790171,0.067504141
1932-Republican-Herbert-Hoover,0.0013097577,0.0092992796,0.0077275704,0.00078585462,0.047544204,0.11434185,0.14119188,0.026064178,0.065880812,0.070072037
1936-Republican-Alfred-M-Landon,0,0.016254656,0.016254656,0.00067727735,0.032847951,0.15374196,0.068405012,0.011513715,0.096173383,0.10463935
1940-Republican-Wendell-L-Willkie,0,0.011111111,0.0070987654,0.0061728395,0.05462963,0.15277778,0.066975309,0.032407407,0.091358025,0.092592593
1944-Republican-Thomas-E-Dewey,0,0.038573508,0.012615235,0,0.051188743,0.16035905,0.069626395,0.017467249,0.064046579,0.090247453
1948-Republican-Thomas-E-Dewey,0.0040907401,0.047601339,0.011156564,0,0.049460766,0.15730755,0.045370026,0.029378951,0.044626255,0.11305318
1952-Republican-Dwight-D-Eisenhower,0.001700102,0.044032642,0.020911255,0.0069704182,0.060013601,0.15742945,0.032131928,0.029581775,0.071404284,0.083475009
1956-Republican-Dwight-D-Eisenhower,0,0.074719353,0.029366861,0.013022003,0.070678042,0.11647957,0.039964077,0.039335429,0.038527167,0.095374944
1960-Republican-Richard-Nixon,0.00067024129,0.10465339,0.042991191,0.018096515,0.055821524,0.087131367,0.028245883,0.030926848,0.048640368,0.10283416
1964-Republican-Barry-Goldwater,0.0001170412,0.08497191,0.05957397,0.042602996,0.045529026,0.082748127,0.019779963,0.030079588,0.060393258,0.10475187
1968-Republican-Richard-Nixon,0.0036824877,0.10351882,0.034472177,0.026698036,0.088175123,0.086538462,0.017082651,0.057999182,0.046644845,0.075900164
1972-Republican-Richard-Nixon,0.0059214144,0.11453707,0.039546589,0.032314004,0.072156664,0.037685573,0.013365478,0.1071353,0.034894049,0.061159751
1976-Republican-Gerald-R-Ford,0.0074902627,0.071706781,0.042894237,0.0560771,0.08888445,0.041795666,0.01178468,0.054778788,0.05912314,0.072306002
1980-Republican-Ronald-Reagan,0.0085578916,0.047290495,0.041871484,0.11889251,0.090642582,0.029641694,0.010719574,0.044921528,0.058691146,0.073674859
1984-Republican-Ronald-Reagan,0.02645661,0.047711709,0.057478577,0.10013846,0.086554653,0.020356996,0.014070277,0.056580474,0.054971373,0.06907907
1988-Republican-George-Bush,0.058168105,0.048111536,0.082852408,0.080481115,0.076195646,0.016113365,0.011399349,0.051511342,0.051654191,0.054939718
1992-Republican-George-Bush,0.080458943,0.022479589,0.089846419,0.046505773,0.056612596,0.017192389,0.011689386,0.079272021,0.074884005,0.046038197
1996-Republican-Robert-Dole,0.10182315,0.025095955,0.084255979,0.047497786,0.05310747,0.019080307,0.01243726,0.054030115,0.081266608,0.047239445
2000-Republican-George-W-Bush,0.080343398,0.022084073,0.11086442,0.041888692,0.05580225,0.016577857,0.013795145,0.060597987,0.072912966,0.044434577
