id,0,1,2,3,4,5,6,7,8,9
1948-Democratic-Harry-S-Truman,0.053820279,0.019461797,0.17900048,0.033397405,0.042527631,0.0062469966,0.024987987,0.047333013,0.093945219,0
1952-Democratic-Adlai-Stevenson,0.066361556,0.026887872,0.15663616,0.036842105,0.046224256,0.002173913,0.037414188,0.059038902,0.1,0.00011441648
1956-Democratic-Adlai-Stevenson,0.051135006,0.033452808,0.14990044,0.036320191,0.042692155,0.0048586221,0.032815611,0.071684588,0.1051374,0.0011947431
1960-Democratic-John-F-Kennedy,0.05208864,0.056546103,0.078960774,0.041900153,0.065779419,0.0054763118,0.049223128,0.0664162,0.099592461,0.0056036679
1964-Democratic-Lyndon-B-Johnson,0.04299664,0.089458211,0.041894162,0.049979,0.13702226,0.0067723646,0.050031499,0.028454431,0.075598488,0.0039374213
1968-Democratic-Hubert-H-Humphrey,0.067256637,0.076716509,0.04308819,0.055233445,0.054745194,0.017393958,0.077143729,0.026365578,0.091425084,0.0085444004
1972-Democratic-George-McGovern,0.065483329,0.034140881,0.029263612,0.048213001,0.021148157,0.028064284,0.14667786,0.053649956,0.091308867,0.011153754
1976-Democratic-Jimmy-Carter,0.10189916,0.061409428,0.031475947,0.037404801,0.018364986,0.049744529,0.10826183,0.047045214,0.069410971,0.0067482888
1980-Democratic-Jimmy-Carter,0.12052852,0.059297454,0.027151144,0.04315716,0.019953808,0.068965517,0.078284456,0.050649909,0.051375013,0.012246213
1984-Democratic-Walter-F-Mondale,0.044739321,0.063660037,0.013768076,0.068895784,0.0095019115,0.1042163,0.044877833,0.086320572,0.057759433,0.021358524
1988-Democratic-Michael-Dukakis,0.049536256,0.049325464,0.023608769,0.10096965,0.0046374368,0.087268128,0.054384486,0.038996627,0.068718381,0.036888702
1992-Democratic-William-J-Clinton,0.027754415,0.045176018,0.023188754,0.1415355,0.007809684,0.053706596,0.062597621,0.034002163,0.066442389,0.071128199
1996-Democratic-William-J-Clinton,0.020164259,0.03075616,0.012177853,0.19144718,0.0062305296,0.028433871,0.032851883,0.03653356,0.044350042,0.10070801
2000-Democratic-Albert-Gore-Jr,0.018039815,0.044144488,0.0095080436,0.11672821,0.0053907212,0.026571586,0.041003438,0.032132094,0.053737425,0.13650834
